,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Miss You,0.00299,0.231,461480,0.668,0,0.128,4,0.111,-5.517,0,0.0377,83.005,4,0.0688
Gazebo - Patrice Baumel Remix,0.0156,0.799,422880,0.73,1,0.931,4,0.139,-9.126,1,0.0466,125.004,4,0.253
Oloro Nyager,0.0106,0.741,410731,0.709,1,0.68,11,0.0716,-11.157,0,0.0619,121.978,4,0.218
Exaltation,0.723,0.735,287249,0.488,1,0.903,1,0.104,-11.834,0,0.0678,105.014,4,0.219
In the Shadow (feat. Ruben Haze),0.0972,0.636,264500,0.749,1,0.498,11,0.155,-8.025,0,0.0286,120.004,4,0.155
Rile 'Em Up,0.0309,0.812,207071,0.893,0,0.196,3,0.0907,-6.043,0,0.0814,119.995,4,0.939
Openness,0.00229,0.454,266466,0.891,0,0.0135,2,0.468,-5.101,1,0.0621,169.869,4,0.752
Nie Kłami,0.667,0.646,195667,0.346,1,0.0,6,0.114,-9.352,0,0.0297,135.94,4,0.203
Rising,0.782,0.555,306545,0.467,1,0.681,9,0.105,-13.16,0,0.0424,110.126,4,0.0393
Body Talk - Bakermat Remix,0.0349,0.743,226000,0.609,1,0.000398,0,0.0297,-6.139,0,0.0458,120.009,4,0.945
Yes We Can Can,0.183,0.748,342880,0.634,0,0.000211,2,0.0433,-10.094,1,0.142,169.946,4,0.838
Crash Test,0.713,0.706,189173,0.663,1,0.0,5,0.302,-6.986,0,0.192,129.981,4,0.537
Pais Nublado,0.827,0.59,272229,0.353,0,0.0031,4,0.415,-13.143,0,0.0411,135.878,4,0.357
Let You Get Away - Live Mix,0.00988,0.582,244286,0.597,1,0.00021,6,0.11,-6.12,0,0.0397,168.022,4,0.21
Patrzysz Tak Niewinnie,0.0599,0.819,196061,0.861,0,0.0,0,0.0536,-6.379,1,0.0712,141.962,4,0.822
United Colours Of Armagedon,0.0254,0.733,213414,0.689,1,0.0065,4,0.351,-8.816,0,0.0442,128.005,4,0.678
Monticello,0.678,0.559,232378,0.479,0,0.861,11,0.215,-18.152,0,0.0429,99.782,4,0.485
Hacia Delante - con Chato,0.558,0.835,233447,0.58,1,0.000752,8,0.115,-8.892,0,0.189,100.007,4,0.841
Don't Give a Damn (feat. John McCallum),0.1,0.642,224041,0.764,0,0.32,7,0.0731,-6.741,0,0.0457,104.885,4,0.704
Cosmic Day - 2020 Remaster,0.0125,0.594,339280,0.461,0,0.145,1,0.0372,-11.42,1,0.054,77.88,4,0.424
3 Nights,0.223,0.815,177667,0.518,0,0.0,7,0.104,-6.594,0,0.0897,151.891,4,0.877
Million Miles (The Remixes) - Cuebrick Remix,0.00171,0.549,256372,0.805,1,0.000533,8,0.196,-4.358,1,0.0676,125.966,4,0.151
BOYFRIEND,0.332,0.553,219087,0.705,0,0.0,2,0.126,-4.691,1,0.0335,143.978,4,0.727
Folegandros - Kryder Mix,0.00573,0.733,180837,0.954,1,0.3,7,0.377,-3.904,1,0.06,124.969,4,0.552
PATT,0.00145,0.664,204286,0.953,1,0.013,6,0.242,-4.436,1,0.0643,126.011,4,0.809
Share That Love (feat. G-Eazy),0.162,0.715,172399,0.658,0,0.0,11,0.0742,-4.304,0,0.106,158.024,4,0.795
Subati - Andhim's Electrica Cucar Remix,0.00692,0.785,421967,0.879,1,0.753,2,0.0576,-8.69,1,0.0389,122.006,4,0.0694
Mirror Ballin',0.000559,0.822,292000,0.803,0,0.541,11,0.314,-7.491,0,0.0617,109.989,4,0.921
Be Your Shadow,0.0251,0.636,215693,0.965,1,1.12e-06,2,0.146,-2.897,0,0.064,125.043,4,0.551
Butter,0.0175,0.451,489127,0.666,1,0.815,6,0.148,-12.825,0,0.0354,127.993,4,0.0379
Siete,0.00544,0.754,347764,0.329,1,0.582,10,0.0958,-11.06,0,0.452,105.926,4,0.638
Klimax - Darius Syrossian Remix,0.00118,0.791,241500,0.888,0,0.896,4,0.0649,-8.708,0,0.0929,124.975,4,0.316
Forgiveness,0.00759,0.764,238648,0.834,1,0.00205,1,0.0767,-4.696,0,0.0491,121.984,4,0.412
Sex,0.00451,0.51,228361,0.692,1,0.0,0,0.138,-5.825,1,0.171,102.42,4,0.209
Soledad de Murcia,0.877,0.465,357423,0.263,0,0.28,9,0.0984,-18.128,1,0.0287,112.668,4,0.127
Brooklyn,0.000148,0.827,427619,0.891,0,0.347,10,0.0325,-5.95,0,0.074,126.003,4,0.134
Z imbirem,0.784,0.526,185025,0.534,1,0.0011,9,0.102,-11.129,0,0.0409,79.39,4,0.836
Trying,0.904,0.344,144853,0.165,0,0.0,0,0.138,-12.663,1,0.0396,93.317,5,0.0903
Hump Thru the Winter,0.187,0.734,234188,0.697,0,0.0,0,0.149,-5.573,0,0.164,76.018,4,0.537
Misery,0.00533,0.343,180772,0.732,0,0.00302,0,0.0685,-5.189,1,0.044,180.162,4,0.392
Balon,0.349,0.631,224549,0.788,1,0.0,4,0.373,-6.995,0,0.0583,119.918,4,0.194
Wildfire,0.0371,0.511,190249,0.674,0,0.0,6,0.18,-4.992,1,0.026,159.874,4,0.363
311 Trillion Years,0.0216,0.641,530323,0.866,1,0.798,7,0.0926,-10.413,0,0.0367,124.019,4,0.218
Aurora,0.0121,0.712,210849,0.937,1,0.881,10,0.124,-5.474,0,0.0396,123.024,4,0.397
Ain't Nobody,0.189,0.799,280853,0.878,0,0.000105,1,0.14,-7.109,1,0.0434,104.284,4,0.816
Przykro mi,0.0185,0.565,242773,0.635,1,0.000753,7,0.134,-8.272,0,0.0344,127.968,4,0.136
Dancin',0.0138,0.635,177958,0.9,1,0.747,10,0.308,-5.538,0,0.0351,126.945,4,0.874
Holding Out for the One,0.00716,0.6,195187,0.742,0,0.0,6,0.363,-4.135,1,0.0379,85.008,4,0.796
Rejoice,0.0593,0.394,454907,0.612,1,2.57e-05,7,0.107,-9.311,0,0.0647,109.767,4,0.277
FLAGS!,0.0171,0.76,185280,0.914,1,0.058,0,0.0636,-2.719,1,0.0653,124.979,4,0.59
Cool Out,0.0708,0.453,179293,0.367,0,0.00183,2,0.1,-16.245,0,0.0343,140.832,3,0.127
Sandcastles - Ben Lemonz Remix,0.00349,0.679,251707,0.679,1,0.0113,9,0.041,-4.26,0,0.0955,123.015,4,0.623
Estrella - Extended Mix,0.000218,0.545,323226,0.913,1,0.825,9,0.112,-7.257,0,0.042,123.978,4,0.102
Under The Stars,0.0678,0.57,171085,0.914,1,0.0,11,0.236,-1.934,0,0.0681,127.98,4,0.529
Pireneje,0.339,0.727,215213,0.568,0,6.55e-05,6,0.517,-7.209,1,0.341,139.963,4,0.3
Pol Dziewczyna,0.0155,0.7,214893,0.905,1,0.00025,10,0.359,-4.924,1,0.0297,121.978,4,0.935
Everywhere,0.218,0.69,222733,0.54,0,0.00657,4,0.115,-10.516,1,0.0317,114.846,4,0.764
"Turntables (from the Amazon Original Movie ""All In: The Fight for Democracy"")",0.00342,0.704,163149,0.618,0,0.00101,1,0.152,-6.134,1,0.235,179.913,4,0.667
Takie ciało to raj - Radio Edit,0.0526,0.777,227826,0.868,0,4.15e-05,1,0.0577,-6.909,1,0.0625,137.986,4,0.967
The Bigger Picture,0.0127,0.59,252729,0.618,0,0.0,1,0.244,-5.756,1,0.334,96.459,3,0.153
Wait For The Night - Suyano Edit,0.0612,0.448,221250,0.893,1,0.0,9,0.355,-6.074,0,0.0575,127.962,4,0.254
Smile (feat. H.E.R.),0.0258,0.673,251846,0.74,0,0.0,4,0.127,-4.945,0,0.0847,90.026,4,0.723
Never Leave feat. Emilie Marie,0.00508,0.804,449585,0.789,1,0.9,7,0.0751,-9.867,1,0.0967,126.015,4,0.56
With You,0.655,0.438,211518,0.383,0,0.0133,2,0.127,-12.527,1,0.0322,83.823,4,0.322
Walking on the Sun (feat. Rudy),0.000286,0.161,256564,0.869,0,0.0812,9,0.353,-6.108,1,0.0319,82.923,5,0.383
Coffee and Cigarettes (feat. Tomek Makowiecki),0.18,0.508,191027,0.739,0,0.0,2,0.131,-5.185,1,0.0399,119.965,4,0.294
Unconquered,0.0532,0.434,322909,0.949,0,0.0203,8,0.137,-7.07,1,0.172,164.988,3,0.585
Love Is A Temple - IRO Original,0.408,0.597,197091,0.428,1,0.0,9,0.156,-7.559,1,0.0315,77.074,4,0.327
Nic więcej,0.645,0.731,198979,0.776,1,0.0096,6,0.199,-6.03,0,0.0387,117.011,4,0.795
One Too Many,0.247,0.697,203893,0.535,0,0.0,4,0.569,-6.504,1,0.068,82.959,4,0.594
CIAO,0.000486,0.695,164062,0.982,1,0.814,5,0.347,-1.982,0,0.078,128.036,4,0.508
Again (Text Voter XX to 40649),0.332,0.63,207676,0.613,0,0.0,4,0.115,-4.542,1,0.032,119.941,4,0.524
Obok (An On Bast Remix),0.0627,0.697,341509,0.587,1,0.911,9,0.0776,-13.019,1,0.0318,130.032,4,0.2
Strong,0.000775,0.594,354390,0.847,1,0.0124,5,0.153,-5.114,0,0.0905,127.992,4,0.521
Stand Tall,0.075,0.606,238667,0.679,0,0.00274,5,0.677,-6.091,0,0.0684,183.8,4,0.964
Solar - Extended Mix,0.00546,0.626,258682,0.988,1,0.0451,0,0.118,-4.245,1,0.147,128.006,4,0.461
Flyers Direct,0.0045,0.697,164021,0.818,0,0.85,11,0.16,-9.73,0,0.0467,132.187,3,0.739
Enjoy the Silence,0.2,0.663,255133,0.838,0,0.000177,0,0.0782,-5.744,0,0.0286,112.788,4,0.752
Herbstlied for Clarinet & String Quartet,0.982,0.124,274147,0.0059,0,0.8,2,0.113,-28.59,0,0.0488,88.252,3,0.057
Signs (feat. Shantee),0.0175,0.64,195997,0.854,1,0.000353,8,0.124,-5.591,1,0.0458,120.024,4,0.232
In Your Eyes,0.00285,0.667,237520,0.719,0,8.1e-05,7,0.0736,-5.371,0,0.0346,100.021,4,0.717
Czas to iluzja (prod. 1988),0.332,0.508,222347,0.773,1,0.0118,6,0.222,-7.823,0,0.165,131.774,3,0.352
Głos,0.724,0.743,160514,0.825,1,0.0,3,0.228,-6.837,1,0.185,97.95,4,0.627
Punk Fu!,0.00088,0.596,208587,0.746,1,4.67e-05,9,0.0792,-6.837,0,0.0541,160.074,4,0.489
Panton,0.486,0.494,217500,0.533,1,0.0,2,0.0949,-7.089,1,0.14,103.995,4,0.345
Pumped Up Kicks,0.145,0.733,239600,0.71,1,0.115,5,0.0956,-5.849,0,0.0292,127.975,4,0.965
Hey Brother,0.0309,0.545,255093,0.78,1,4.64e-05,7,0.0828,-4.867,0,0.0436,125.014,4,0.458
Softly As In A Morning Sunrise,0.709,0.634,209400,0.327,0,0.0131,0,0.158,-9.703,0,0.0551,80.825,4,0.498
Vie - Radio Edit,0.107,0.429,222439,0.898,1,0.926,6,0.113,-9.04,1,0.0354,122.969,4,0.393
Sun Is Never Going Down (feat. Dawn Golden),0.00308,0.506,204418,0.726,1,8.05e-05,5,0.266,-5.964,0,0.0366,128.044,4,0.266
Mucha nie siada,0.123,0.851,293273,0.905,1,0.00012,6,0.0633,-5.662,1,0.0484,109.012,4,0.918
Some Lovin',0.00433,0.577,210298,0.504,1,0.223,3,0.127,-6.368,0,0.032,97.152,4,0.153
Twice,0.977,0.394,186187,0.197,1,0.0139,2,0.0725,-11.719,0,0.0346,136.12,4,0.228
When The Sun Goes Down,0.0363,0.35,200013,0.874,1,0.0,11,0.108,-4.755,0,0.186,169.512,4,0.416
Enter The Snakepit (Official Snakepit 2016 Anthem) - Radio Edit,0.143,0.603,120066,0.996,0,0.0,8,0.345,-1.195,1,0.207,99.994,4,0.0358
Mortimer,0.277,0.785,211765,0.683,1,0.0,1,0.349,-8.537,1,0.261,85.001,4,0.555
Blue (feat. Schafter),0.00423,0.348,171187,0.531,1,0.00578,2,0.499,-11.07,0,0.148,183.419,4,0.145
Montañas,0.743,0.746,288091,0.229,0,0.0397,5,0.106,-15.406,0,0.137,174.08,4,0.253
Cheri Cheri Lady,0.458,0.677,226333,0.616,0,0.0132,10,0.349,-13.826,1,0.032,114.223,4,0.851
Szkoła,0.0853,0.725,192129,0.964,0,0.0,10,0.266,-3.109,0,0.302,149.999,4,0.872
All of Us (feat. ANIMA!),0.351,0.642,229302,0.709,1,1.54e-06,11,0.221,-6.713,0,0.0353,128.956,4,0.6
Chills & Thrills,0.00357,0.723,275733,0.657,0,0.0179,2,0.0563,-5.372,1,0.0429,116.175,4,0.803
Where We Want To Be,0.0662,0.362,183415,0.759,1,0.0,3,0.171,-3.005,1,0.0382,121.051,4,0.16
Waiting For Love - Autograf Remix,0.081,0.835,287980,0.662,1,0.0975,6,0.0927,-5.409,0,0.0516,122.007,4,0.393
Schodki,0.0464,0.534,235772,0.638,1,0.0161,11,0.175,-9.244,0,0.0495,78.097,4,0.431
The Ruler - Official Syndicate 2018 Anthem,0.0219,0.387,249081,0.982,0,0.0,1,0.323,-1.906,1,0.424,184.778,4,0.161
ALERT RCB,0.512,0.754,199187,0.4,1,0.688,9,0.25,-8.781,0,0.184,139.918,4,0.327
You Say,0.253,0.789,121274,0.627,0,6.87e-06,4,0.153,-6.762,1,0.42,146.854,4,0.873
Płynne Szczęście,0.0269,0.546,287320,0.632,0,0.000714,5,0.122,-6.947,1,0.034,129.975,4,0.151
Fire,0.263,0.386,205618,0.714,1,0.0,6,0.233,-5.597,0,0.381,89.807,4,0.289
"Goldberg's Last Summer for Violin, Piano and String Orchestra",0.904,0.19,236787,0.136,0,0.338,9,0.0528,-22.998,0,0.0533,167.16,3,0.116
So Much Better - Lost Frequencies Remix,0.258,0.584,210911,0.561,1,2.65e-06,3,0.0895,-7.006,0,0.0644,94.906,4,0.229
Nie Wiem Co Będzie Jutro,0.00857,0.629,188407,0.691,1,0.0,9,0.215,-10.283,1,0.134,105.96,4,0.432
Everytime,0.0502,0.618,157440,0.906,1,0.106,10,0.304,-3.022,0,0.0357,124.991,4,0.544
Army Of Hardcore,0.00695,0.686,317600,0.916,0,0.0419,1,0.296,-3.624,1,0.129,94.984,4,0.129
Word Is Out,0.0456,0.827,274237,0.497,0,0.000883,1,0.107,-12.924,0,0.0766,109.343,4,0.737
Make Me Feel (feat. Rick Ross & Ari Lennox),0.0834,0.607,192285,0.812,0,1.43e-05,1,0.169,-4.314,0,0.274,95.021,4,0.676
(I'll Never Be) Maria Magdalena - Single Verison,0.0992,0.613,239827,0.559,0,0.0205,2,0.314,-14.127,1,0.0268,104.1,4,0.772
Besame Mucho,0.866,0.517,354573,0.273,0,0.774,10,0.979,-17.279,0,0.0627,63.423,4,0.321
Prince Vince - Raw Looping Edit,0.46,0.659,146907,0.687,1,0.898,11,0.398,-6.834,0,0.0306,112.153,4,0.863
Miłostki,0.0679,0.482,204440,0.623,1,0.00036,4,0.173,-7.789,0,0.0381,153.932,4,0.117
Bad Dreams,0.0107,0.752,292759,0.798,0,0.81,6,0.0516,-8.954,1,0.0729,174.081,4,0.0908
To Co Było,0.373,0.546,219800,0.785,1,0.00203,0,0.194,-5.837,0,0.029,134.854,4,0.681
Mięsień - Oxford Drama Remix,0.262,0.646,262345,0.613,1,0.738,0,0.105,-10.331,0,0.0379,144.99,4,0.247
Hometown,0.255,0.566,202107,0.713,1,0.944,5,0.109,-9.134,1,0.034,117.987,4,0.18
Zbrodnie Ikara,0.503,0.521,243280,0.577,0,0.00138,11,0.231,-7.94,1,0.0524,80.078,4,0.593
The Execution,0.00892,0.678,235600,0.945,0,0.14,8,0.0748,-1.943,1,0.275,75.117,4,0.278
Selvatica,0.0313,0.716,356024,0.848,1,0.352,4,0.329,-3.899,0,0.0793,106.998,4,0.352
Canvas of Life,0.493,0.294,328013,0.449,0,0.0,0,0.127,-7.26,0,0.0323,187.609,3,0.265
Her Story,0.00714,0.597,262589,0.594,1,0.0253,9,0.0587,-9.999,0,0.0492,118.078,4,0.18
Sunshine - Radio Edit,0.00899,0.541,205125,0.979,1,0.743,6,0.177,-3.422,0,0.058,124.002,4,0.342
Tic Tac,0.00393,0.579,193173,0.646,1,0.00551,11,0.239,-5.564,0,0.0682,114.573,4,0.572
Pasażer,0.00484,0.35,219880,0.583,1,0.0,10,0.108,-8.611,0,0.0815,84.091,4,0.286
Say My Name,0.0703,0.729,159536,0.788,0,0.0,10,0.115,-4.832,0,0.0908,118.039,4,0.857
Heart Weighs A Ton (feat. Stefan Storm) - Galantis vs. Alex Metric,0.0134,0.621,327654,0.791,1,0.00332,2,0.088,-5.879,0,0.046,125.997,4,0.494
Luka,0.0845,0.666,160267,0.527,1,4.58e-06,4,0.116,-8.981,0,0.277,171.985,4,0.676
Holding On,0.162,0.508,254893,0.339,0,2.27e-05,8,0.0724,-8.603,1,0.0915,195.797,4,0.124
Początek,0.0628,0.771,236013,0.703,1,0.0,8,0.0847,-6.299,0,0.0423,110.001,4,0.954
Love Theme From Spartacus - Remastered,0.635,0.522,251600,0.379,0,0.925,4,0.114,-14.096,0,0.0286,133.698,3,0.454
The Ship,0.00285,0.705,524736,0.916,1,0.729,6,0.032,-7.298,0,0.0674,124.993,4,0.111
Alfonsina y el mar,0.993,0.17,296347,0.0198,0,0.92,4,0.111,-27.279,0,0.0511,71.278,1,0.142
Can't You Hear Me Knocking - Alternate Version,0.205,0.589,204034,0.764,1,0.841,0,0.0924,-6.472,1,0.0387,149.121,4,0.824
From The West - Edit,0.0217,0.54,257546,0.961,0,0.129,11,0.367,-7.233,0,0.176,99.219,4,0.47
Nervous Habits (feat. Joey Fleming),0.00595,0.447,266965,0.912,0,0.000423,11,0.189,-2.163,0,0.0615,111.137,4,0.216
Escape - Radio Edit,0.00639,0.317,204400,0.954,1,0.748,4,0.349,-3.83,1,0.248,125.978,4,0.495
Conference Of The Birds,0.637,0.392,277800,0.168,0,0.358,10,0.198,-22.249,1,0.0442,123.419,4,0.292
Seul sur ton tandem,0.159,0.682,231493,0.68,1,4.19e-05,10,0.0826,-7.537,1,0.0451,144.001,4,0.701
Questar,0.658,0.468,550493,0.391,0,0.0617,2,0.111,-13.196,0,0.0269,142.413,4,0.342
Deszcz Na Betonie (?),0.0594,0.786,232477,0.547,1,0.00227,1,0.0921,-10.114,0,0.122,92.997,4,0.807
Craziest Day I Ever Had,0.00101,0.653,202385,0.596,1,0.00124,7,0.289,-6.935,0,0.0356,140.049,4,0.527
Aniitime,0.09,0.687,447727,0.583,1,0.892,1,0.0921,-12.211,1,0.048,125.007,4,0.116
Pussy Motherfuckerz - D-Fence Extended Remix,0.0746,0.688,193050,0.997,0,0.0,8,0.0706,-0.595,0,0.238,99.993,4,0.173
Coming to Get You Nowhere,0.897,0.687,200480,0.519,0,0.368,7,0.151,-10.643,1,0.0403,94.889,4,0.866
Caesarea,0.00147,0.434,228750,0.878,1,0.502,1,0.13,-3.579,0,0.0607,127.992,4,0.071
Brother Louie,0.396,0.783,222667,0.836,0,0.0236,0,0.135,-9.223,0,0.0486,108.966,4,0.831
Twister,0.0276,0.527,208125,0.808,1,0.00198,7,0.176,-5.975,0,0.0328,128.025,4,0.126
Śmierć,0.00272,0.473,245087,0.399,1,0.341,9,0.0829,-11.505,1,0.0288,103.95,4,0.038
People You Follow,0.898,0.549,181159,0.323,0,3.38e-05,2,0.115,-8.784,1,0.0383,113.373,4,0.274
Everything She Wants,0.321,0.9,302693,0.459,0,0.00399,6,0.165,-15.557,0,0.0366,115.091,4,0.962
North Dakota,0.717,0.615,190565,0.484,0,3.53e-05,4,0.112,-12.142,1,0.0679,112.538,4,0.234
Freakin' Out On the Interstate,0.391,0.452,251906,0.79,0,0.0,4,0.303,-5.01,1,0.0534,143.861,4,0.362
Granda,0.106,0.825,211080,0.837,1,0.000753,11,0.174,-3.91,0,0.066,129.968,4,0.784
Cumbia Sobre el Mar - El Búho Remix,0.187,0.651,312915,0.731,1,0.138,3,0.0479,-6.004,0,0.0368,159.919,4,0.692
Restart,0.319,0.867,152903,0.908,0,4.73e-05,11,0.0682,-4.993,0,0.103,123.924,4,0.785
Niby Jesteś Ale Nie Ma Cię - Radio Edit,0.00141,0.68,186887,0.819,0,9.34e-06,0,0.15,-6.348,1,0.0404,142.038,4,0.806
Mewy,0.0109,0.678,198000,0.628,1,0.148,1,0.116,-9.118,1,0.0318,119.996,4,0.747
Hulajnogi,0.138,0.699,159540,0.731,1,0.000284,5,0.139,-5.97,1,0.0415,88.97,4,0.467
Kaczzki,0.134,0.84,268952,0.674,1,1.25e-05,0,0.197,-4.867,0,0.163,148.039,4,0.517
Hey Mama,0.019,0.653,198984,0.725,1,0.0,6,0.34,-4.766,1,0.0403,128.006,4,0.675
9 Crimes,0.913,0.329,219227,0.167,1,9.56e-05,0,0.0921,-13.103,1,0.0296,74.174,4,0.0995
Where I'll Be Waiting (feat. Cozi Zuehlsdorff),0.396,0.51,193434,0.806,1,0.0,11,0.0918,-3.042,0,0.0583,127.915,4,0.219
Carry Me (feat. Julia Michaels),0.486,0.621,233133,0.551,1,0.0,7,0.115,-7.89,1,0.0474,105.052,4,0.222
Afera,0.0223,0.744,175173,0.756,0,0.0,0,0.144,-5.571,0,0.0371,124.992,4,0.897
Alegria [Federal Music Anthem 2017],0.0061,0.735,319840,0.975,1,0.762,7,0.123,-4.904,1,0.0652,124.994,4,0.331
ily (i love you baby) (feat. Emilee),0.0686,0.674,176547,0.774,0,0.00188,11,0.393,-7.567,0,0.0892,112.05,4,0.33
Carmelina - Radio Edit,0.000619,0.723,166875,0.808,1,0.17,9,0.199,-11.808,0,0.0694,127.941,4,0.232
Kids Of Africa - Original Mix,9.78e-05,0.712,245272,0.85,1,0.871,7,0.122,-7.711,1,0.0446,126.032,4,0.0806
Into The Sunset - Acoustic,0.587,0.842,181236,0.346,1,0.0,1,0.117,-10.16,1,0.0401,119.983,4,0.703
The Fall,0.0271,0.49,192435,0.94,1,0.0486,10,0.0645,-4.237,0,0.159,124.896,4,0.125
"10 Chorale Preludes, BV B 27: No. 5, Ich ruf zu dir, Herr Jesu Christ, BWV 639",0.996,0.194,195587,0.00426,0,0.894,5,0.0735,-41.057,0,0.0518,66.813,4,0.18
Be Like That - feat. Swae Lee & Khalid,0.0469,0.727,191406,0.626,0,2.58e-05,7,0.126,-8.415,1,0.0726,86.97,4,0.322
Lęk,0.0213,0.619,202320,0.73,1,1.51e-05,0,0.124,-7.5,0,0.0853,149.007,4,0.602
Zabaw się w mój świat,0.931,0.666,207508,0.32,0,0.427,2,0.117,-11.038,0,0.0316,123.974,4,0.251
Wielka Płyta,0.00965,0.688,240827,0.677,0,1.58e-06,4,0.0702,-6.88,0,0.038,121.986,4,0.934
Maria Sabina,0.112,0.87,318750,0.325,1,0.599,11,0.107,-11.631,0,0.249,159.906,4,0.445
Tecolotin,0.21,0.709,262326,0.637,1,0.704,3,0.171,-8.392,0,0.0509,171.979,4,0.817
Pewne serce,0.0944,0.486,204000,0.736,0,5.3e-05,11,0.14,-6.83,0,0.0427,165.962,4,0.676
Heart Upon My Sleeve,0.0949,0.707,283147,0.717,1,0.532,4,0.319,-7.872,0,0.0378,126.044,4,0.351
Stars of the Night,0.00082,0.512,348030,0.766,1,0.0428,9,0.201,-8.106,0,0.033,115.016,4,0.0397
La piscine,0.107,0.758,229147,0.729,1,0.0104,5,0.314,-5.322,0,0.0373,119.98,4,0.805
Single Saturday Night,0.118,0.623,187684,0.79,0,0.0,7,0.226,-5.07,1,0.0473,81.949,4,0.694
Let Me Move You - From the Netflix film Work It,0.0112,0.624,147071,0.628,0,0.0191,4,0.0814,-6.582,0,0.0408,114.556,4,0.772
Follow Your Heart,0.0431,0.353,245627,0.656,0,0.000161,7,0.139,-5.712,0,0.0319,153.747,4,0.195
Gunning For You (feat. Nevve) - ALRT Remix,0.00145,0.622,184737,0.98,0,0.000503,8,0.675,-3.264,0,0.181,76.003,4,0.224
Nad Ranem,0.00358,0.582,230973,0.799,1,0.0,2,0.335,-5.965,0,0.036,130.015,4,0.445
Shame On Me - Avicii By Avicii,0.0542,0.611,236147,0.844,1,0.00439,1,0.0483,-5.134,1,0.178,193.991,4,0.353
Caracas,0.00188,0.735,282384,0.86,1,0.394,1,0.0343,-4.78,0,0.0631,124.978,4,0.155
Bright Side - Vocal Radio Edit,0.0089,0.563,180000,0.95,1,0.0,0,0.344,-3.309,0,0.0616,128.05,4,0.552
The Answer,0.00703,0.676,302640,0.648,0,0.00137,6,0.113,-6.456,1,0.0294,115.964,4,0.889
Breath,0.066,0.582,254000,0.559,1,0.856,9,0.102,-12.524,0,0.0357,120.028,4,0.163
Miłość Tak Działa,0.192,0.793,200946,0.889,0,0.0,0,0.0718,-5.507,0,0.0551,139.976,4,0.639
Right Now - Sam Feldt Radio Edit,0.152,0.657,197584,0.941,1,3.76e-06,4,0.282,-2.255,1,0.033,123.075,4,0.615
Made Of,0.669,0.692,160165,0.321,1,0.00174,5,0.111,-12.864,0,0.037,119.988,4,0.547
I Miss You (feat. Bahari) - Acoustic,0.534,0.607,173601,0.547,1,0.0,1,0.426,-8.321,0,0.0514,102.318,4,0.48
New Blood - Koven Remix,5.85e-05,0.415,221829,0.894,0,2.4e-05,1,0.155,-3.036,1,0.0455,175.013,4,0.08
Curse the Weather,0.000133,0.311,223560,0.884,0,0.0265,11,0.124,-4.313,1,0.0703,131.733,4,0.364
Criminally Insane - Para Italia & Dr. Peacock Remix,0.189,0.671,300571,0.921,0,0.293,6,0.0442,-2.463,1,0.089,104.977,4,0.543
Whatever (feat. Bootsy Collins),0.000791,0.584,215783,0.709,0,0.0,7,0.411,-6.39,1,0.1,98.735,4,0.649
San Juan Sunset,0.959,0.597,255533,0.263,0,0.9,7,0.134,-21.112,0,0.0284,94.44,4,0.262
Blue Monday '88,6.47e-05,0.681,244720,0.893,0,0.383,7,0.0626,-8.485,1,0.0378,130.475,4,0.951
Love on Me,0.105,0.562,205920,0.906,1,0.0,4,0.145,-2.085,1,0.0758,124.146,4,0.674
CAN’T STOP THIS!! - Steve Aoki Remix,0.0459,0.688,183750,0.987,0,0.000238,0,0.376,-2.019,1,0.136,127.998,4,0.499
Stitch,0.0106,0.444,414937,0.642,1,0.813,5,0.0966,-11.001,1,0.0353,121.983,4,0.0899
Let a Man Do What He Wanna Do,0.0799,0.845,170387,0.743,0,0.00209,9,0.694,-7.445,0,0.0931,112.493,4,0.956
In The Army Now,0.101,0.686,281747,0.722,0,3.37e-06,9,0.11,-7.094,0,0.0233,104.665,4,0.904
Kocham blondynki 2020 - Jubileusz Edit - Extended,0.0191,0.912,279430,0.695,0,0.0,0,0.0842,-7.242,1,0.102,136.008,4,0.966
Kino,0.00221,0.448,350227,0.731,1,0.0415,7,0.143,-7.294,1,0.0497,127.01,4,0.0605
Counting On Me,0.0135,0.824,240624,0.913,1,6.86e-05,5,0.0749,-5.101,0,0.0454,119.999,4,0.964
Ayer Me Llamó Mi Ex (feat. Lenny Santos),0.254,0.752,206760,0.716,0,0.0,10,0.243,-5.2,0,0.0325,117.007,4,0.553
Candy,0.415,0.755,195882,0.632,1,0.0,3,0.0641,-5.018,0,0.0439,135.965,4,0.819
Królowa,0.177,0.579,265927,0.564,1,0.0108,9,0.105,-7.645,0,0.113,163.709,4,0.349
Nevada (feat. Cozi Zuehlsdorff),0.299,0.605,208562,0.783,1,0.000175,3,0.133,-4.271,1,0.0324,124.015,4,0.105
Closer,0.414,0.748,244960,0.524,1,0.0,8,0.111,-5.599,1,0.0338,95.01,4,0.661
Tear The Roof Up - Extended Version,0.0284,0.653,404053,0.945,1,0.443,7,0.106,-3.734,1,0.0574,125.971,4,0.451
Hard Up,0.00655,0.782,255228,0.922,0,0.0118,11,0.0728,-4.028,0,0.0497,104.016,4,0.761
Rave Me,0.016,0.669,165854,0.98,1,0.854,1,0.124,-5.168,0,0.0917,122.996,4,0.483
