,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Temptation,0.249,0.698,168185,0.785,0,6.15e-05,4,0.197,-5.854,0,0.0514,104.911,4,0.607
Can't Catch Me,0.155,0.645,239053,0.702,0,0.0,8,0.0915,-3.362,1,0.0845,80.132,4,0.612
Govindam,0.74,0.793,338080,0.752,1,0.00662,8,0.099,-9.349,1,0.104,120.028,4,0.546
Imagine,0.00334,0.645,225000,0.738,0,0.000105,1,0.12,-4.92,1,0.0589,119.859,4,0.255
La Corrida - Radio Edit,0.00229,0.718,198159,0.836,1,0.824,11,0.0741,-3.789,1,0.0703,126.025,4,0.477
Let's Fall in Love for the Night,0.802,0.737,190348,0.408,0,0.0,5,0.171,-7.941,1,0.104,127.921,4,0.374
Gypsy,0.0654,0.61,425807,0.63,0,0.874,2,0.0974,-12.637,1,0.0348,124.0,4,0.197
New Morning,0.183,0.817,468772,0.477,1,0.842,7,0.0775,-10.749,1,0.0797,120.017,4,0.248
Sway (feat. Nevve) - VIP Mix,0.0234,0.666,213750,0.846,1,2.47e-05,10,0.163,-3.731,1,0.0323,128.012,4,0.431
Karnawał raz w życiu,0.692,0.642,208887,0.627,0,1.81e-06,7,0.141,-5.785,1,0.0726,132.004,4,0.512
On My Way,0.0679,0.642,264787,0.828,1,6.8e-05,0,0.118,-4.031,1,0.0429,127.99,4,0.332
A miało być jak we śnie (feat. Taco Hemingway),0.0368,0.759,217243,0.574,0,1.1e-05,0,0.12,-5.301,0,0.0416,129.949,4,0.0614
Satisfy,0.0137,0.391,168193,0.992,1,0.783,7,0.32,-2.943,1,0.218,126.169,4,0.193
Elephant,7.19e-05,0.614,185197,0.795,1,0.806,2,0.0994,-4.355,0,0.0408,126.991,4,0.408
Burning,0.00159,0.807,236160,0.881,1,0.885,6,0.109,-7.203,0,0.0478,125.001,4,0.43
Save You (feat. Megan Stokes) - Kompany Remix,0.0253,0.423,216828,0.918,0,2.62e-05,9,0.144,-1.279,0,0.164,144.798,4,0.141
Bez końca,0.0581,0.718,244500,0.75,1,0.000141,2,0.49,-6.755,0,0.0823,121.976,4,0.565
Tam Mnie Spotkasz,0.434,0.671,214815,0.655,1,0.0,11,0.151,-6.946,0,0.22,81.021,4,0.652
Snowblood,2.41e-05,0.529,253680,0.983,0,0.0148,11,0.0763,-3.186,1,0.125,125.017,4,0.359
In This Moment,0.13,0.771,175238,0.549,1,0.708,9,0.672,-9.809,0,0.0411,125.993,4,0.174
Mister Man,0.0126,0.725,226345,0.957,0,0.0822,10,0.102,-5.931,1,0.0472,119.994,4,0.618
Every Other Memory,0.000475,0.633,219193,0.732,0,0.0,0,0.108,-6.995,1,0.0351,103.019,4,0.515
Numb & Getting Colder,0.334,0.551,308008,0.646,1,4.01e-05,8,0.0947,-4.932,1,0.086,116.023,4,0.26
Me About Me,0.625,0.465,166928,0.61,0,8.28e-05,1,0.128,-5.302,1,0.0317,83.664,4,0.235
Rainburn - Pandhora Sunset Remix,0.00659,0.699,391261,0.849,1,0.692,2,0.122,-7.22,0,0.0335,119.006,4,0.0779
My Love - Acoustic,0.918,0.759,182740,0.268,1,3.63e-06,0,0.111,-7.027,0,0.0469,109.85,4,0.589
Altamar,0.111,0.588,289187,0.679,1,0.0575,3,0.0733,-8.275,0,0.0315,168.051,4,0.517
Analogue Soul,0.0432,0.523,286191,0.865,1,0.0245,9,0.109,-2.484,0,0.045,126.008,4,0.217
I. Allegro,0.932,0.388,549933,0.159,0,0.138,2,0.125,-20.32,1,0.0422,118.801,4,0.309
Come Into My Life (Radio Mix),0.179,0.476,228480,0.845,0,0.373,8,0.0441,-5.574,0,0.0451,94.491,4,0.818
Elesi,0.0159,0.669,238497,0.604,1,0.0296,0,0.0819,-9.678,0,0.0518,120.001,4,0.433
California (from Songland) (feat. Tyga),0.0219,0.804,175179,0.852,0,1.33e-05,3,0.282,-4.079,0,0.0575,120.906,4,0.752
Someday,0.00425,0.538,183440,0.52,1,0.0,9,0.367,-7.46,1,0.0299,106.031,4,0.678
Digital Dragons,0.0116,0.655,246279,0.686,1,0.0374,10,0.0787,-10.817,0,0.0406,100.004,4,0.36
W.N.P,0.414,0.755,203013,0.618,1,0.0,9,0.141,-8.05,0,0.294,107.107,4,0.501
Hej Hej!,0.0113,0.641,225880,0.663,1,0.000268,7,0.126,-5.953,0,0.0354,137.968,4,0.571
Haven't You Heard - Fitzy's Fully Charged Mix,0.000766,0.816,431077,0.866,0,0.848,6,0.0998,-6.282,0,0.0602,130.016,4,0.95
Harmony - Original Mix,0.00247,0.648,335714,0.9,1,0.0638,10,0.0913,-3.771,0,0.0791,128.028,4,0.335
Spotlight,0.288,0.823,158013,0.629,0,2.55e-05,11,0.101,-6.6,0,0.0789,98.041,4,0.243
The Riddle,0.121,0.578,234840,0.655,0,6.91e-06,9,0.137,-7.935,1,0.0277,101.889,4,0.898
Honeypie,0.0698,0.742,135521,0.678,0,0.0,5,0.151,-4.605,0,0.192,115.05,4,0.927
Nature Boy,0.983,0.438,284187,0.182,0,0.841,2,0.119,-15.209,0,0.0338,65.535,3,0.0639
Future Funk - Radio Edit,0.0067,0.723,197346,0.868,1,5.91e-05,11,0.115,-4.448,0,0.0345,120.011,4,0.551
Rockabye (feat. Sean Paul & Anne-Marie) - Autograf Remix,0.152,0.479,249412,0.7,1,4.71e-06,9,0.0932,-5.019,0,0.0501,101.946,4,0.34
Hold It Down,0.00274,0.571,238508,0.719,0,0.000463,8,0.19,-7.193,0,0.0288,91.984,4,0.613
Where Do We Go From Here,0.0127,0.58,515231,0.832,0,0.00246,0,0.108,-5.513,1,0.145,145.937,4,0.783
For The Night (feat. Lil Baby & DaBaby),0.114,0.823,190476,0.586,0,0.0,6,0.193,-6.606,0,0.2,125.971,4,0.347
Running Up That Hill (A Deal With God),0.72,0.629,298933,0.547,1,0.00314,10,0.0604,-13.123,0,0.055,108.375,4,0.197
Soul & Trip,0.000345,0.792,386977,0.82,0,0.884,7,0.101,-6.649,1,0.0566,128.998,4,0.0755
The Ballad Of Mary 2010,0.0443,0.567,301520,0.666,0,0.0,4,0.197,-4.009,0,0.0255,103.978,4,0.099
Don't Leave Me This Way (with Sarah Jane Morris),0.135,0.64,271067,0.926,0,2.04e-06,3,0.134,-5.597,1,0.0322,131.997,4,0.901
Can't Fight It,0.00313,0.687,183750,0.73,1,1.3e-05,0,0.21,-5.906,0,0.0345,128.028,4,0.333
La Cazadora,0.113,0.66,313240,0.287,0,0.00286,11,0.709,-14.165,0,0.0335,124.629,4,0.479
Love You to Death,0.359,0.423,428800,0.738,0,0.084,6,0.0801,-7.329,1,0.0319,111.414,4,0.276
Maj,0.123,0.789,187636,0.634,1,0.000173,7,0.11,-7.783,0,0.0415,114.009,4,0.833
Gdybym Miała Serce,0.0621,0.641,251213,0.534,1,1.27e-05,2,0.177,-7.918,0,0.0386,97.003,4,0.348
Howlin',0.115,0.742,265872,0.848,0,0.0,4,0.328,-6.336,0,0.0404,109.487,4,0.622
Na co Ci to,0.794,0.684,214000,0.365,0,0.00581,7,0.19,-12.644,0,0.0866,142.391,4,0.365
Street Life - Single Edit,0.603,0.505,332133,0.625,0,3.98e-05,5,0.0823,-8.195,0,0.0686,110.791,4,0.608
What Love Can Be,0.443,0.296,314073,0.449,0,1.3e-06,10,0.109,-14.26,0,0.0378,127.626,4,0.303
Treat You Better,0.356,0.599,273640,0.539,1,5.38e-06,8,0.102,-5.897,1,0.034,121.947,4,0.188
You've Got To Change,0.0513,0.514,238053,0.902,0,0.000824,7,0.0744,-6.536,1,0.111,96.091,4,0.692
Serenade To A Soul Sister - Remastered,0.73,0.487,379000,0.535,0,0.00414,8,0.0903,-8.47,0,0.0305,144.548,3,0.591
Getaway,0.102,0.736,185347,0.719,0,0.0,9,0.357,-4.722,0,0.0492,112.057,4,0.889
Kundel Bury,0.0197,0.751,202850,0.903,1,1.72e-05,2,0.214,-6.513,1,0.062,130.0,4,0.752
Lonely If You Are,0.19,0.593,175067,0.745,0,0.0,7,0.227,-4.37,1,0.0574,169.951,4,0.849
These Boots Are Made For Walking - Urbański Remix,0.0202,0.654,215228,0.832,1,0.882,11,0.363,-6.492,0,0.0636,124.015,4,0.331
